Chapter Number,Chapter,Section Number,Section Title,Section Content
14,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals",294,Obscene acts and songs,"Whoever, to the annoyance of others -does any obscene act in any public place, orsings, recites or utters any obscene song, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both."
14,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals",294A,Keeping lottery office,"Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, number or figure in any such lottery shall be punished with fine which may extend to one thousand rupees."
15,Offences Relating to Religion,,,
15,Offences Relating to Religion,295,"Injuring or defiling place of worship, with intent to insult the religion of any class","Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
15,Offences Relating to Religion,295A,Deliberate and malicious acts intended to outrage religious feelings of any class by insulting its religion or religious beliefs,"Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
15,Offences Relating to Religion,296,Disturbing religious assembly,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
15,Offences Relating to Religion,297,"Trespassing on burial places, etc","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
15,Offences Relating to Religion,298,"Uttering words, etc., with deliberate intent to wound religious feelings","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
16,Offences Affecting the Human Body,,,
16,Offences Affecting the Human Body,299,Culpable homicide,"Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide.IllustrationsA lays sticks and turf over a pit, with the intention of thereby causing death, or with the knowledge that death is likely to be thereby caused. Z, believing the ground to be firm, treads on it, falls in and is killed. A has committed the offence of culpable homicide.A knows Z to be behind a bush. B does not know it. A, intending to cause, or knowing it to be likely to cause Zô death, induces B to fire at the bush. B fires and kills Z. Here B may be guilty of no offence; but A has committed the offence of culpable homicide.A, by shooting at a fowl with intent to kill and steal it, kills B, who is behind a bush; A not knowing that he was there. Here, although A was doing an unlawful act, he was not guilty of culpable homicide, as he did not intend to kill B or to cause death by doing an act that he knew was likely to cause death.ExplanationsA person who causes bodily injury to another who is labouring under a disorder, disease or bodily infirmity, and thereby accelerates the death of that other, shall be deemed to have caused his death.Where death is caused by bodily injury, the person who causes such bodily injury shall be deemed to have caused the death, although by resorting to proper remedies and skilful treatment the death might have been prevented.The causing of the death of a child in the motherô womb is not homicide. But it may amount to culpable homicide to cause the death of a living child, if any part of that child has been brought forth, though the child may not have breathed or been completely born."
16,Offences Affecting the Human Body,300,Murder,"Except in the cases hereinafter excepted, culpable homicide is murder îIf the act by which the death is caused is done with the intention of causing death, orIf it is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused. orIf it is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death, orIf the person committing the act knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid.IllustrationsA shoots Z with the intention of killing him. Z dies in consequence. A commits murder.A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such bodily injury as in the ordinary course of nature would cause death.A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature. Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Zô death.A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder, although he may not have had a premeditated design to kill any particular individual.Exception 1When culpable homicide is not murder ì Culpable homicide is not murder if the offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death of the person who gave the provocation or causes the death of any other person by mistake or accident.The above exception is subject to the following provisos:ProvisosThat the provocation is not sought or voluntarily provoked by the offender as an excuse for killing or doing harm to any person.That the provocation is not given by anything done in obedience to the law, or by a public servant in the lawful exercise of the powers of such public servant.That the provocation is not given by anything done in the lawful exercise of the right of private defence.ExplanationsWhether the provocation was grave and sudden enough to prevent the offence from amounting to murder is a question of fact.IllustrationsA, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Zô child. This is murder, inasmuch as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in doing an act caused by the provocation.Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable homicide.A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder, inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of Aô deposition, and that A has perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.A attempts to pull Zô nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so. A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by a thing done in the exercise of the right of private defence.Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of Bô rage, and to cause him to kill Z, puts a knife into Bô hand for that purpose. B kills Z with the knife. Here B may have committed only culpable homicide, but A is guilty of murder.Exception 2Culpable homicide is not murder if the offender in the exercise in good faith of the right of private defence or person or property, exceeds the power given to him by law and causes the death of the person against whom he is exercising such right of defence without premeditation, and without any intention of doing more harm than is necessary for the purpose of such defence.IllustrationsZ attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has not committed murder, but only culpable homicide.Exception 3Culpable homicide is not murder if the offender, being a public servant or aiding a public servant acting for the advancement of public justice, exceeds the powers given to him by law, and causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due discharge of his duty as such public servant and without ill-will towards the person whose death is caused.Exception 4Culpable homicide is not murder if it is committed without premeditation in a sudden fight in the heat of passion upon a sudden quarrel and without the offenderô having taken undue advantage or acted in a cruel or unusual manner.ExplanationsIt is immaterial in such cases which party offers the provocation or commits the first assault.Exception 5Culpable homicide is not murder when the person whose death is caused, being above the age of eighteen years, suffers death or takes the risk of death with his own consent.IllustrationsA, by instigation, voluntarily causes Z, a person under eighteen years of age, to commit suicide. Here, on account of Zô youth, he was incapable of giving consent to his own death; A has therefore abetted murder."
16,Offences Affecting the Human Body,301,Culpable homicide by causing death of person other than person whose death was intended,"If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to he likely to cause."
16,Offences Affecting the Human Body,302,Punishment for murder,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
16,Offences Affecting the Human Body,303,Punishment for murder by life-convict,"Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death."
16,Offences Affecting the Human Body,304,Punishment for culpable homicide not amounting to murder,"Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death. or of causing such bodily injury as is likely to cause death;or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death."
16,Offences Affecting the Human Body,304A,Causing death by negligence,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
16,Offences Affecting the Human Body,304B,Dowry death,"Where the death of a woman is caused by any burns or bodily injury or occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for, or in connection with, any demand for dowry, such death shall be called dowry deathù, and such husband or relative shall be deemed to have caused her death.ExplanationsFor the purposes of this sub-section, dowryù shall have the same meaning as in section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life."
16,Offences Affecting the Human Body,305,Abetment of suicide of child or insane person,"If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,306,Abetment of suicide,"If any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,307,Attempt to murder,"Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if hurt is caused to any person by such act, the offender shall be liable either to imprisonment for life, or to such punishment as is hereinbefore mentioned.Attempts by life-convicts ì When any person offending under this section is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death.IllustrationsA shoots at Z with intention to kill him, under such circumstances that, if death ensued A would be guilty of murder. A is liable to punishment under this sectionA, with the intention of causing the death of a child of tender years, exposes it in a desert place A has committed the offence defined by this section, though the death of the child does not ensue.A, intending to murder Z, buys a gun and loads it. A has not yet committed the offence. A fires the gun at Z. He has committed the offence defined in this section, and, if by such firing he wounds Z, he is liable to the punishment provided by the latter part of the first paragraph of this section.A, intending to murder Z by poison, purchases poison and mixes the same with food which remains in Aô keeping; A has not yet committed the offence in this section. A places the food on Zô table or delivers it to Zô servants to place it on Zô table. A has committed the offence defined in this section."
16,Offences Affecting the Human Body,308,Attempt to commit culpable homicide,"Whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.IllustrationsA, on grave and sudden provocation, fires a pistol at Z, under such circumstances that if he there by caused death he would be guilty of culpable homicide not amounting to murder. A has committed the offence defined in this section."
16,Offences Affecting the Human Body,309,Attempt to commit suicide,"Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year or with fine, or with both."
16,Offences Affecting the Human Body,310,Thug,"Whoever, at any time after the passing of this Act, shall have been habitually associated with any other or others for the purpose of committing robbery or child-stealing by means of or accompanied with murder, is a thug."
16,Offences Affecting the Human Body,311,Punishment,"Whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine."
16,Offences Affecting the Human Body,312,Causing miscarraige,"Whoever voluntarily causes a woman with child to miscarry, shall if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.ExplanationsA woman who causes herself to miscarry, is within the meaning of this section."
16,Offences Affecting the Human Body,313,Causing miscarriage without womanôs consent,"Whoever commits the offence defined in the last preceding section without the consent of the woman, whether the woman is quick with child or not, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,314,Death caused by act done with intent to cause miscarriage,"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;If act done without womanôs consent ì and if the act is done without the consent of the woman, shall be punished either with imprisonment for life, or with the punishment above mentioned.ExplanationsIt is not essential to this offence that the offender should know that the act is likely to cause death."
16,Offences Affecting the Human Body,315,Act done with intent to prevent child being born alive or to cause it to die after birth,"Whoever before the birth of any child does any act with the intention of thereby preventing that child from being born alive or causing it to die after its birth, and does by such act prevent that child from being born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of saving the life of the mother, be punished with imprisonment of either description for a term which may extend to ten years, or with fine, or with both."
16,Offences Affecting the Human Body,316,Causing death of quick unborn child by act amounting to culpable homicide-,"Whoever does any act under such circumstances, that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.IllustrationsA, knowing that he is likely to cause the death of a pregnant woman, does an act which, if it caused the death of the woman, would amount to culpable homicide. The woman is injured, but does not die; but the death of an unborn quick child with which she is pregnant is thereby caused. A is guilty of the offence defined in this section."
16,Offences Affecting the Human Body,317,"Exposure and abandonment of child under twelve years, by parent or person having care of it","Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.ExplanationsThis section is not intended to prevent the trial of the offender for murder or culpable homicide, as the case may be, if the child die in consequence of the exposure."
16,Offences Affecting the Human Body,318,Concealment of birth by secret disposal of dead body,"Whoever, by secretly burying or otherwise disposing of the dead body of a child whether such child die before or after or during its birth, intentionally conceals or endeavors to conceal the birth of such child, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
16,Offences Affecting the Human Body,319,Hurt,"Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt."
16,Offences Affecting the Human Body,320,Grievous hurt,"The following kinds of hurt only are designated as grievousù:Emasculation.Permanent privation of the sight of either eye.Permanent privation of the hearing of either ear.Privation of any member or joint.Destruction or permanent impairing of the powers of any member or joint.Permanent disfiguration of the head or face.Fracture or dislocation of a bone or tooth.Any hurt which endangers life or which causes the sufferer to be during the space of twenty days in severe bodily pain, or unable to follow his ordinary pursuits."
16,Offences Affecting the Human Body,321,Voluntarily causing hurt,"Whoever does any act with the intention of thereby causing hurt to any person, or with the knowledge that he is likely thereby to cause hurt to any person, and does thereby cause hurt to any person, is said voluntarily to cause hurtù."
16,Offences Affecting the Human Body,322,Voluntarily causing grievous hurt,"Whoever voluntarily causes hurt, if the hurt which he intends to cause or knows himself to be likely to cause is grievous hurt, and if the hurt which he causes is grievous hurt, is said voluntarily to cause grievous hurtù.ExplanationsA person is not said voluntarily to cause grievous hurt except when he both causes grievous hurt and intends or knows himself to be likely to cause grievous hurt. But he is said voluntarily to cause grievous hurt, if intending or knowing himself to be likely to cause grievous hurt of one kind, he actually causes grievous hurt of another kind.IllustrationsA, intending of knowing himself to be likely permanently to disfigure Zô face, gives Z a blow which does not permanently disfigure Zô face, but which causes Z to suffer severe bodily pain for the space of twenty days. A has voluntarily caused grievous hurt."
16,Offences Affecting the Human Body,323,Punishment for voluntarily causing hurt,"Whoever, except in the case provided for by section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both."
16,Offences Affecting the Human Body,324,Voluntarily causing hurt by dangerous weapons or means,"Whoever, except in the case provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
16,Offences Affecting the Human Body,325,Punishment for voluntarily causing grievous hurt,"Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
16,Offences Affecting the Human Body,326,Voluntarily causing grievous hurt by dangerous weapons or means,"Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,326A,"Voluntarily causing grievous hurt by use of acid, etc.1","Whoever causes permanent or partial damage or deformity to, or bums or maims or disfigures or disables, any part or parts of the body of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by using any other means with the intention of causing or with the knowledge that he is likely to cause such injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less than ten years but which may extend to imprisonment for life, and with fine;Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of the victim;Provided further that any fine imposed under this section shall be paid to the victim.1 Criminal Law (Amendment) Act, 2013"
16,Offences Affecting the Human Body,326B,"Voluntarily throwing or attempting to throw acid, etc.1","Whoever throws or attempts to throw acid on any person or attempts to administer acid to any person, or attempts to use any other means, with the intention of causing permanent or partial damage or deformity or bums or maiming or disfigurement or disability or grievous hurt to that person, shall be punished with imprisonment of either description for a term which shall not be less than five years but which may extend to seven years, and shall also be liahle to fine.ExplanationsFor the purposes of section 326A and this section, acidù includes any substance which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading to scars or disfigurement or temporary or permanent disability.For the purposes of section 326A and this section, permanent or partial damage or deformity shall not be required to be irreversible.1 Criminal Law (Amendment) Act, 2013"
16,Offences Affecting the Human Body,327,"Voluntarily causing hurt to extort property, or to constrain to an illegal act","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,328,"Causing hurt by means of poison, etc., with intent to commit and offence","Whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything that is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,330,Voluntarily causing hurt to extort confession or to compel restoration of property,"Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.IllustrationsA, a police-officer, tortures Z in order to induce Z to confess that he committed a crime. A is guily of an offence under this section.A, a police-officer, tortures B to induce him to point out where certain stolen property is deposited. A is guilty of an offence under this section.A, a revenue officer, tortures z in order to compel him to pay certain arrears of revenue due from Z. A is guilty of an offence under this section.A, a zamindar, tortures a raiyat in order to compel him to pay his rent. A is guilty of an offence under this section."
16,Offences Affecting the Human Body,331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to satisfy any claim or demand or to give information which may lead to the restoration of any property or valuable security shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,332,Voluntarily causing hurt to deter public servant from his duty,"Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
16,Offences Affecting the Human Body,333,Voluntarily causing grievous hurt to deter public servant from his duty,"Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
16,Offences Affecting the Human Body,334,Voluntarily causing hurt on provocation,"Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
16,Offences Affecting the Human Body,335,Voluntarily causing grievous hurt on provocation,"Whoever voluntarily causes grievous hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation shall be punished with imprisonment of either description for a term which may extend to four years, or with fine which may extend to two thousand rupees, or with both.ExplanationsThe last two sections are subject to the same provisos as Exception 1, section 300."
16,Offences Affecting the Human Body,336,Act endangering life or personal safety of others,"Whoever does any act so rashly or negligently as to endanger human life or the personal safety others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees, or with both."
16,Offences Affecting the Human Body,337,Causing hurt by act endangering life or personal safety of others,"Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both."
16,Offences Affecting the Human Body,338,Causing grievous hurt by act endangering life or personal safety of others,"Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine which may extend to one thousand rupees, or with both."
16,Offences Affecting the Human Body,339,Wrongful restraint,"Whoever voluntarily obstructs any person so as to prevent that person from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain that person.ExceptionsThe obstruction of a private way over land or water which a person in good faith believes himself to have a lawful right to obstruct, is not an offence within the meaning of this section.IllustrationsA obstructs a path along which Z has a right to pass. A not believing in good faith that he has a right to stop the path. Z is thereby prevented from passing. A wrongfully restrains Z."
16,Offences Affecting the Human Body,340,Wrongful confinement,"Whoever wrongfully restrains any person in such a manner as to prevent that person from proceeding beyond certain circumscribing limits, is said wrongfully to confineù that person.IllustrationsA causes Z to go within a walled space, and locks Z. Z is thus prevented from proceeding in any direction beyond the circumscribing line of wall. A wrongfully confines z.A places men with firearms at the outlets of a building, and tells Z that they will fire at Z if Z attempts leave the building. A wrongfully confines Z."
16,Offences Affecting the Human Body,341,Punishment for wrongful restraint,"Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
16,Offences Affecting the Human Body,342,Punishment for wrongful confinement,"Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both."
16,Offences Affecting the Human Body,343,Wrongful confinement for three or more days,"Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
16,Offences Affecting the Human Body,344,Wrongful confinement for ten or more days,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
16,Offences Affecting the Human Body,345,Wrongful confinement of person for whose liberation writ has been issued,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter."
16,Offences Affecting the Human Body,346,Wrongful confinement in secret,"Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement."
16,Offences Affecting the Human Body,347,"Wrongful confinement to extort property, or constrain to illegal act","Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
16,Offences Affecting the Human Body,348,"Wrongful confinement to extort confession, or compel restoration of property","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine."
16,Offences Affecting the Human Body,349,Force,"A person is said to use force to another if he causes motion, change of motion, or cessation of motion to that other, or if he causes to any substance such motion, or change of motion, or cessation of motion as brings that substance into contact with any part of that otherô body, or with anything which that other is wearing or carrying, or with anything so situated that such contact affects that otherô sense of feeling;Provided that the person causing the motion, or change of motion, or cessation of motion, causes that motion, change of motion, or cessation of motion in one of the three ways hereinafter described:By his own bodily power.By disposing any substance in such a manner that the motion or change or cessation of motion takes place without any further act on his part, or on the part of any other person.By inducing any animal to move, to change its motion, or to cease to move."
